Food Name,Food Group,Cultural Suitability,Dietary Tags,Trimester 1,Trimester 2,Trimester 3,Anemia Friendly,Gestational Diabetes Friendly,Hypertension Friendly,Constipation Friendly,Morning Sickness Friendly,Heartburn Friendly,Energy (kcal per 100g),Protein (g per 100g),Iron (mg per 100g),Calcium (mg per 100g),Folate (µg per 100g),Vitamin C (mg per 100g),Vitamin A (IU per 100g),Magnesium (mg per 100g),Fiber (g per 100g),Omega-3 (g per 100g),DHA (g per 100g),Sodium (mg per 100g)
Spinach,Leafy Greens,Indian,Vegetarian,1,1,1,No,No,Yes,No,No,No,264.0,12.7,3.5,928.0,52.0,36.0,16973.0,16.0,1.3,0.15,0.01,51.0
Masoor Dal,Pulses,North Indian,"Vegetarian, Gluten-Free",0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,590.0,22.2,7.9,217.0,137.0,22.5,14924.0,63.0,2.1,0.25,0.0,83.0
Almonds,Nuts,South Indian,"Vegan, Gluten-Free",1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,292.0,16.0,5.3,884.0,59.0,26.2,11186.0,49.0,7.8,0.39,0.06,17.0
Ragi,Cereals,Indian,Vegetarian,0,1,1,No,Yes,Yes,Yes,Yes,Yes,433.0,2.9,3.4,345.0,17.0,18.3,7732.0,187.0,14.0,0.16,0.02,32.0
Sweet Potato,Vegetables,Indian,Vegan,1,1,1,Yes,No,Yes,Yes,Yes,Yes,444.0,11.0,8.4,842.0,97.0,40.5,12624.0,137.0,3.2,0.24,0.01,83.0
Pumpkin Seeds,Seeds,Indian,"Vegan, Gluten-Free",0,1,1,Yes,Yes,Yes,No,Yes,Yes,308.0,10.3,4.9,923.0,190.0,40.0,5822.0,311.0,14.7,0.46,0.04,1.0
Paneer,Dairy,North Indian,Vegetarian,1,1,1,No,Yes,Yes,Yes,No,Yes,103.0,10.5,13.9,749.0,21.0,32.7,3035.0,346.0,2.5,0.47,0.08,33.0
Amla,Fruits,Indian,Vegan,0,1,1,Yes,Yes,Yes,Yes,Yes,No,373.0,16.5,12.6,34.0,163.0,45.7,14569.0,88.0,10.8,0.2,0.0,83.0
Sesame Seeds,Seeds,South Indian,"Vegan, Gluten-Free",1,1,1,Yes,No,Yes,Yes,Yes,Yes,78.0,3.3,3.6,634.0,157.0,41.0,9873.0,81.0,13.3,0.29,0.02,85.0
Dates,Fruits,Indian,"Vegan, Gluten-Free",0,1,1,No,Yes,Yes,Yes,Yes,Yes,228.0,20.5,6.3,939.0,154.0,6.2,12269.0,304.0,6.8,0.47,0.04,46.0
Methi Leaves,Leafy Greens,North Indian,Vegetarian,1,1,1,Yes,Yes,Yes,No,Yes,Yes,374.0,5.7,1.1,123.0,58.0,5.4,2800.0,213.0,3.8,0.49,0.03,56.0
Black Gram,Pulses,North Indian,"Vegetarian, Gluten-Free",0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,116.0,13.3,8.0,349.0,187.0,20.6,18458.0,322.0,14.8,0.13,0.02,28.0
Cashew Nuts,Nuts,South Indian,"Vegan, Gluten-Free",1,1,1,No,No,Yes,Yes,No,Yes,345.0,1.4,2.7,438.0,131.0,18.2,12054.0,294.0,13.5,0.12,0.05,15.0
Jowar,Cereals,Indian,Vegetarian,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,305.0,15.4,8.7,498.0,102.0,12.4,7007.0,276.0,10.6,0.24,0.05,71.0
Carrot,Vegetables,Indian,Vegan,1,1,1,Yes,Yes,Yes,Yes,Yes,No,139.0,20.3,14.5,555.0,44.0,31.9,2421.0,259.0,14.1,0.26,0.1,83.0
Sunflower Seeds,Seeds,Indian,"Vegan, Gluten-Free",0,1,1,No,Yes,Yes,No,Yes,Yes,388.0,24.3,6.0,350.0,121.0,5.6,19610.0,17.0,6.8,0.16,0.1,40.0
Milk,Dairy,Indian,Vegetarian,1,1,1,Yes,No,Yes,Yes,Yes,Yes,178.0,21.2,11.0,414.0,73.0,0.9,4346.0,333.0,3.0,0.14,0.03,92.0
Guava,Fruits,Indian,Vegan,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,27.0,13.4,0.8,278.0,9.0,42.2,2427.0,126.0,11.6,0.15,0.09,88.0
Flax Seeds,Seeds,South Indian,"Vegan, Gluten-Free",1,1,1,No,Yes,Yes,Yes,No,Yes,485.0,4.8,6.8,518.0,50.0,39.5,9807.0,370.0,1.5,0.29,0.04,85.0
Banana,Fruits,Indian,Vegan,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,292.0,5.8,5.6,147.0,5.0,5.5,16993.0,391.0,3.5,0.48,0.04,79.0
Drumstick Leaves,Leafy Greens,South Indian,Vegetarian,1,1,1,Yes,No,Yes,No,Yes,Yes,182.0,14.0,9.0,230.0,116.0,29.9,15064.0,155.0,9.0,0.1,0.05,59.0
Rajma,Pulses,North Indian,"Vegetarian, Gluten-Free",0,1,1,No,Yes,Yes,Yes,Yes,No,81.0,4.9,5.2,217.0,10.0,11.7,2832.0,229.0,7.0,0.2,0.1,60.0
