Food Name,Food Group_Beverage,Food Group_Cereals,Food Group_Dairy,Food Group_Dry Fruits,Food Group_Fats & Oils,Food Group_Fruits,Food Group_Leafy Greens,Food Group_Nuts,Food Group_Pulses,Food Group_Seeds,Food Group_Soy Products,Food Group_Spices,Food Group_Vegetables,Cultural Suitability_Indian,Cultural Suitability_Middle Eastern,Cultural Suitability_North Indian,Cultural Suitability_South Indian,"Dietary Tags_Vegan, Gluten-Free","Dietary Tags_Vegetarian, Gluten-Free","Dietary Tags_Vegetarian, Vegan, Gluten-Free",Energy (kcal per 100g),Protein (g per 100g),Iron (mg per 100g),Calcium (mg per 100g),Folate (µg per 100g),Vitamin C (mg per 100g),Vitamin A (IU per 100g),Magnesium (mg per 100g),Fiber (g per 100g),Omega-3 (g per 100g),DHA (g per 100g),Sodium (mg per 100g)
Indian Fruits 1,0.00033655757,0.0015591683,0.99954647,0.0008426768,0.9997558,0.9937542,0.9995297,0.0013058814,2.3698844e-05,0.0036336728,0.034187537,0.012198114,0.99959105,0.00032399787,0.99990773,0.9994167,0.9991947,3.164264e-05,0.0043156547,0.99984515,0.99987805,0.99950564,0.6437049,0.99888045,0.99991775,0.00079947006,0.9182402,9.483944e-05,0.9999819,0.059010595,0.9990994,0.9993693
North Indian Pulses 2,9.053687e-05,0.0006354065,0.99974316,0.005819218,0.9995832,0.9980793,0.99730575,0.00046593446,0.0004277884,0.0012999907,0.023839856,0.15491994,0.99935466,0.00041937595,0.99994695,0.9998087,0.9996424,0.00015948767,0.0008752075,0.99991333,0.99988985,0.99933225,0.45984688,0.9998155,0.9998553,0.00015586075,0.86323494,0.0005311575,0.99995446,0.060742814,0.9989869,0.9992774
South Indian Fruits 3,0.00036142636,0.0010384787,0.9994937,0.009018608,0.9996518,0.9992473,0.99919707,0.0018640972,0.0040680175,0.0023101226,0.042299483,0.077808596,0.998123,0.00046079606,0.99949384,0.99907255,0.9948338,0.0006708912,0.0049567176,0.9991122,0.99986124,0.9964612,0.5001978,0.99866533,0.99960905,0.00078197726,0.9302725,0.00060009153,0.999691,0.032896977,0.99911255,0.9996076
Bengali Vegetables 4,0.0001076376,0.0012747438,0.9997874,0.0018112039,0.9997961,0.9995994,0.9997428,0.00029713576,0.0007081726,0.0010701463,0.07821314,0.18273064,0.9993961,0.00018173578,0.9999386,0.9998572,0.9997218,0.0001309516,0.0017622546,0.9998995,0.9998704,0.99654585,0.49605098,0.99939036,0.99978596,0.0002319627,0.9213813,0.0004069006,0.99993086,0.014948181,0.9995604,0.99951196
Indian Seeds 5,0.00012372341,0.0014232316,0.9994493,0.0064636213,0.9998958,0.99797934,0.9996056,0.00081083836,0.000874005,0.00041085438,0.020723011,0.083194636,0.99936324,6.9473266e-05,0.99985945,0.9997794,0.9998323,9.939432e-05,0.004113682,0.99970907,0.99994683,0.99792165,0.4267212,0.99957377,0.99985623,0.00040423096,0.97159696,0.00016271343,0.9999237,0.037247192,0.9993692,0.99975187
North Indian Cereals 6,8.940048e-05,0.0010761316,0.99993885,0.0009961184,0.99989355,0.99978954,0.9993722,0.00021466902,0.001031561,0.00015479894,0.05073699,0.20748225,0.9998859,3.9820374e-05,0.9999782,0.99990654,0.9991278,0.00020800008,0.0031832731,0.9999542,0.9999609,0.99810094,0.44200858,0.99958366,0.9998165,0.00024527544,0.965711,5.669996e-05,0.99994683,0.014377842,0.9997086,0.9993299
Bengali Pulses 7,0.0012951283,0.0009955533,0.99968445,0.011370432,0.99942774,0.99992406,0.99960595,0.00079388916,0.0016226202,0.00036434372,0.034941446,0.21522355,0.9983333,0.0002879836,0.99966836,0.99953675,0.9997794,0.0002642789,0.0006524138,0.99911183,0.99972814,0.9912034,0.48346734,0.99953926,0.9996774,0.0002710481,0.9889965,0.0011019469,0.9996743,0.035559937,0.9995189,0.99548775
North Indian Nuts 8,0.000795233,0.0009311683,0.9997466,0.0059107835,0.99954283,0.9969273,0.999635,0.0009374004,0.0006416108,0.003555586,0.032300267,0.059089392,0.9992924,0.0002753022,0.9996717,0.9993575,0.999673,0.0012509056,0.004591071,0.9996124,0.9997601,0.99518883,0.46675912,0.99917716,0.9993331,0.00041341403,0.9296703,0.00021397423,0.9995789,0.08349235,0.9982095,0.9963154
Gujarati Pulses 9,0.00012648544,0.0013047104,0.9998436,0.0040731174,0.9994981,0.9997168,0.9995302,0.00048166397,0.0010927775,0.0004259154,0.049202267,0.120306715,0.9988814,0.00018571471,0.9998838,0.99958915,0.9994066,0.000114140785,0.00349071,0.9998211,0.999785,0.9958729,0.5334584,0.998648,0.9997465,0.0006104393,0.9405304,0.0004017253,0.9999076,0.082469724,0.9995103,0.9991066
Indian Seeds 10,0.0028322428,0.0013531155,0.9991155,0.030177638,0.9982193,0.9999492,0.998833,0.0018380755,0.00082307233,0.00016695673,0.03270331,0.1378662,0.9977308,0.0007569037,0.99945194,0.9993666,0.99965906,0.000455912,0.0050440715,0.99921584,0.999201,0.9765387,0.4725773,0.99915886,0.99968565,0.00015557892,0.9873426,0.0021308174,0.99978274,0.16089109,0.9959764,0.9914581
